City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
453,vryburg,-26.9566,24.7284,66.61,72,100,4.27,ZA,1675822733
454,chara,56.9064,118.2631,-6.61,78,90,2.59,RU,1675822734
455,caracuaro,19.0106,-101.1264,76.91,41,2,3.49,MX,1675822734
456,pueblo,38.2545,-104.6091,37.56,49,0,6.91,US,1675822735
457,kangaatsiaq,68.3065,-53.4641,-16.94,86,100,5.08,GL,1675822736
458,geraldton,-28.7667,114.6,84.61,45,0,6.91,AU,1675822736
459,chapada dos guimaraes,-15.4606,-55.7497,71.26,82,80,2.57,BR,1675822737
460,seoul,37.5683,126.9778,38.77,41,0,8.05,KR,1675822662
461,nakusp,50.2499,-117.8023,36.48,93,100,4.61,CA,1675822738
462,isla vista,34.4133,-119.861,61.02,67,40,3.44,US,1675822660
463,pelym,61.0108,61.9978,-0.87,95,100,5.41,RU,1675822739
464,severo-kurilsk,50.6789,156.125,24.82,54,12,9.55,RU,1675822658
465,cangzhou,38.3167,116.8667,36.88,47,90,8.12,CN,1675822740
466,christchurch,-43.5333,172.6333,73.42,52,10,13.8,NZ,1675822689
467,angoche,-16.2325,39.9086,76.3,88,100,7.65,MZ,1675822742
468,frontera,26.9333,-101.45,67.32,53,58,1.99,MX,1675822743
469,santa ines,-3.6667,-45.38,73.38,97,100,3.15,BR,1675822744
470,banda aceh,5.5577,95.3222,79.75,81,98,10.63,ID,1675822745
471,hovd,48.0056,91.6419,0.48,76,97,1.45,MN,1675822746
472,alice springs,-23.7,133.8833,94.55,40,40,13.8,AU,1675822747
473,narasannapeta,18.4167,84.05,70.18,79,5,4.29,IN,1675822748
474,sao jose da coroa grande,-8.8978,-35.1478,76.95,71,100,6.24,BR,1675822749
475,garowe,8.4054,48.4845,65.52,92,36,6.87,SO,1675822696
476,komsomolskiy,40.4272,71.7189,32.72,74,99,6.91,UZ,1675822751
477,phan thiet,10.9333,108.1,83.32,57,22,6.38,VN,1675822752
478,brumado,-14.2036,-41.6653,71.67,63,11,4.92,BR,1675822753
479,shingu,33.7333,135.9833,57.33,40,7,4.59,JP,1675822754
480,baykit,61.67,96.37,4.12,98,100,1.9,RU,1675822614
481,rawson,-43.3002,-65.1023,65.57,60,3,6.38,AR,1675822756
482,okitipupa,6.5047,4.7839,76.05,90,60,2.15,NG,1675822756
483,kualakapuas,-3.0091,114.3876,84.72,71,91,2.68,ID,1675822757
484,guaymas,27.9333,-110.9,65.57,42,0,9.22,MX,1675822758
485,beeville,28.4008,-97.7483,71.78,88,100,13.8,US,1675822759
486,baghdad,33.3406,44.4009,48.11,61,0,9.22,IQ,1675822760
487,bolu,40.6667,31.5833,17.38,96,87,3.13,TR,1675822761
488,nabire,-3.3667,135.4833,77.38,86,100,2.71,ID,1675822667
489,yantal,56.8471,105.2542,9.45,96,100,4.38,RU,1675822763
490,leningradskiy,69.3833,178.4167,-24.12,96,100,4.9,RU,1675822763
491,yukamenskoye,57.8865,52.2416,5.27,98,100,9.91,RU,1675822764
492,anadyr,64.75,177.4833,-25.01,74,0,13.42,RU,1675822765
493,taoudenni,22.6783,-3.9836,63.75,20,100,11.43,ML,1675822766
494,grenada,37.1882,-3.6067,43.68,95,75,3.44,ES,1675822767
495,lebork,54.5392,17.7501,33.48,90,99,5.75,PL,1675822768
496,manohar thana,24.24,76.8018,58.1,40,0,3.96,IN,1675822769
497,plettenberg bay,-34.0527,23.3716,66.47,86,100,5.7,ZA,1675822770
498,mawlaik,23.6333,94.4167,65.34,45,0,0.96,MM,1675822619
499,begunitsy,59.5855,29.3176,27.48,88,100,11.12,RU,1675822771
500,pundaguitan,6.3711,126.1689,79.27,74,95,6.73,PH,1675822772
501,briancon,44.9,6.65,17.94,89,19,3.42,FR,1675822773
502,sisimiut,66.9395,-53.6735,-14.03,93,100,4.81,GL,1675822773
503,rio branco,-9.9747,-67.81,75.81,100,75,3.44,BR,1675822774
504,aykhal,66.0,111.5,-37.26,100,82,2.8,RU,1675822775
505,qazvin,36.2797,50.0049,29.82,93,0,2.3,IR,1675822776
506,puerto madryn,-42.7692,-65.0385,67.69,51,0,8.37,AR,1675822777
507,vao,-22.6667,167.4833,80.22,70,13,13.44,NC,1675822778
508,kurilsk,45.2333,147.8833,23.79,53,85,6.38,RU,1675822779
509,san carlos de bariloche,-41.1456,-71.3082,64.15,55,0,10.36,AR,1675822669
510,rundu,-17.9333,19.7667,64.18,94,100,3.58,NA,1675822780
511,yaan,7.3833,8.5667,78.78,16,27,3.71,NG,1675822781
512,bulancak,40.9372,38.2291,37.22,65,75,11.5,TR,1675822782
513,bay roberts,47.5999,-53.2648,26.15,83,100,20.0,CA,1675822782
514,coxim,-18.5067,-54.76,70.7,92,100,3.15,BR,1675822783
515,beckley,37.7782,-81.1882,54.01,35,0,8.05,US,1675822784
516,whitehorse,60.7161,-135.0538,23.77,68,20,16.11,CA,1675822619
517,evensk,61.95,159.2333,-15.95,76,59,6.78,RU,1675822785
518,cheremukhovo,60.3484,59.9851,0.45,95,96,3.24,RU,1675822786
519,san rafael del sur,11.8485,-86.4384,79.77,65,14,16.24,NI,1675822663
520,bowen,-20.0167,148.2333,83.32,74,100,17.18,AU,1675822788
521,foz do iguacu,-25.5478,-54.5881,79.95,73,0,3.44,BR,1675822789
522,mansehra,34.3333,73.2,40.89,50,51,7.11,PK,1675822790
523,asau,46.4333,26.4,22.12,97,97,4.41,RO,1675822771
524,udachnyy,66.4167,112.4,-41.26,100,98,2.51,RU,1675822791
525,omboue,-1.5746,9.2618,77.14,88,100,4.97,GA,1675822791
526,saravan,39.7196,45.6483,21.42,91,100,4.23,AM,1675822792
527,zheshart,62.0731,49.5733,19.04,94,100,9.78,RU,1675822792
528,nieuw amsterdam,5.8833,-55.0833,76.01,90,46,9.66,SR,1675822793
529,aktas,49.7789,72.9608,-9.65,100,100,4.16,KZ,1675822794
